graph_id,num_nodes,num_edges,noise_type,sigma,attack_auroc,attack_f1,attack_edge_recall,model_acc
0,42,81,gaussian,0.0,0.9618960524310318,0.7530864197437891,0.753086419743789,0.9761905074119568
0,42,81,gaussian,0.05,0.6180460295686633,0.17283950617070568,0.17283950617070568,0.9761905074119568
0,42,81,gaussian,0.1,0.5986892242036275,0.17283950617070568,0.17283950617070568,0.9761905074119568
0,42,81,gaussian,0.2,0.4441396128638927,0.07407407407315958,0.07407407407315958,0.9047619104385376
0,42,81,gaussian,0.3,0.4418533760097546,0.061728395060966314,0.061728395060966314,0.9047619104385376
0,42,81,laplace,0.0,0.9506172839506173,0.7530864197437891,0.753086419743789,0.9761905074119568
0,42,81,laplace,0.05,0.6322206980643195,0.13580246913412589,0.13580246913412589,0.9523809552192688
0,42,81,laplace,0.1,0.6302392927907331,0.13580246913412589,0.13580246913412589,0.9761905074119568
0,42,81,laplace,0.2,0.5840573083371438,0.09876543209754611,0.0987654320975461,0.9285714626312256
0,42,81,laplace,0.3,0.46258192348727334,0.07407407407315958,0.07407407407315958,0.8571428656578064
1,27,46,gaussian,0.0,0.9910207939508507,0.6086956521606806,0.6086956521606806,0.8148148059844971
1,27,46,gaussian,0.05,0.6143667296786389,0.17391304347448017,0.17391304347448017,0.8888888955116272
1,27,46,gaussian,0.1,0.5155954631379962,0.1956521739087902,0.1956521739087902,0.8148148059844971
1,27,46,gaussian,0.2,0.40737240075614367,0.1086956521715501,0.1086956521715501,0.8148148059844971
1,27,46,gaussian,0.3,0.5760869565217391,0.1956521739087902,0.1956521739087902,0.7407407760620117
1,27,46,laplace,0.0,0.9749527410207939,0.6086956521606806,0.6086956521606806,0.8148148059844971
1,27,46,laplace,0.05,0.5023629489603025,0.15217391304017014,0.15217391304017014,0.8148148059844971
1,27,46,laplace,0.1,0.525992438563327,0.15217391304017014,0.15217391304017014,0.8518518805503845
1,27,46,laplace,0.2,0.49669187145557653,0.15217391304017014,0.15217391304017014,0.8518518805503845
1,27,46,laplace,0.3,0.44045368620037806,0.1956521739087902,0.1956521739087902,0.7037037014961243
2,10,17,gaussian,0.0,0.9965397923875432,0.941176470532872,0.941176470532872,0.800000011920929
2,10,17,gaussian,0.05,0.49134948096885817,0.4117647058581314,0.41176470585813146,0.800000011920929
2,10,17,gaussian,0.1,0.6262975778546712,0.4117647058581314,0.41176470585813146,0.800000011920929
2,10,17,gaussian,0.2,0.6539792387543252,0.5294117646747405,0.5294117646747405,0.9000000357627869
2,10,17,gaussian,0.3,0.4948096885813149,0.2941176470415225,0.2941176470415225,0.9000000357627869
2,10,17,laplace,0.0,1.0,0.941176470532872,0.941176470532872,0.800000011920929
2,10,17,laplace,0.05,0.47750865051903113,0.2941176470415225,0.2941176470415225,0.800000011920929
2,10,17,laplace,0.1,0.43944636678200694,0.352941176449827,0.352941176449827,0.800000011920929
2,10,17,laplace,0.2,0.57439446366782,0.5294117646747405,0.5294117646747405,0.800000011920929
2,10,17,laplace,0.3,0.439446366782007,0.2941176470415225,0.2941176470415225,0.800000011920929
3,24,46,gaussian,0.0,0.9399810964083175,0.6304347825949906,0.6304347825949906,0.9166666865348816
3,24,46,gaussian,0.05,0.6729678638941399,0.23913043477741022,0.23913043477741022,0.9166666865348816
3,24,46,gaussian,0.1,0.6016068052930057,0.15217391304017014,0.15217391304017014,0.9166666865348816
3,24,46,gaussian,0.2,0.4362003780718336,0.15217391304017014,0.15217391304017014,0.9166666865348816
3,24,46,gaussian,0.3,0.5155954631379962,0.1956521739087902,0.1956521739087902,0.9166666865348816
3,24,46,laplace,0.0,0.9792060491493384,0.6304347825949906,0.6304347825949906,0.9166666865348816
3,24,46,laplace,0.05,0.6337429111531191,0.3043478260803403,0.3043478260803403,0.9166666865348816
3,24,46,laplace,0.1,0.5732514177693762,0.2173913043431002,0.2173913043431002,0.875
3,24,46,laplace,0.2,0.5099243856332702,0.2173913043431002,0.2173913043431002,0.9166666865348816
3,24,46,laplace,0.3,0.5439508506616257,0.1304347826058601,0.1304347826058601,0.7916666865348816
4,11,21,gaussian,0.0,0.9954648526077097,0.9523809523356009,0.9523809523356009,0.6363636255264282
4,11,21,gaussian,0.05,0.5600907029478458,0.47619047616780047,0.47619047616780047,0.6363636255264282
4,11,21,gaussian,0.1,0.49206349206349204,0.3809523809342404,0.3809523809342404,0.6363636255264282
